t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps
0.015,0.05137867107987404,0.0056037683971226215,1.1136667728424072,15.357841491699219,-0.005600281525403261,0.4,1.2,0
0.03,0.17122825980186462,-0.013748846016824245,1.1588120460510254,6.162177085876465,0.015261774882674217,0.4,1.2,0
0.045,0.2083834558725357,0.10161760449409485,1.1343954801559448,15.378090858459473,0.09863262623548508,0.4,1.2,0
0.06,0.46516305208206177,0.13259735703468323,0.9421542882919312,16.813302993774414,0.18760380148887634,0.4,1.2,0
0.075,0.6468902230262756,0.2232666015625,0.950590968132019,20.267230987548828,0.23195597529411316,0.4,1.2,0
0.09,0.7844303846359253,0.2730711102485657,0.9597374200820923,10.500683784484863,0.2525566518306732,0.4,1.2,0
0.105,0.8585679531097412,0.19539527595043182,0.8804793953895569,10.682089805603027,0.23228022456169128,0.4,1.2,0
0.12,0.9145029783248901,0.18397963047027588,0.8423779606819153,14.246281623840332,0.2673031985759735,0.4,1.2,0
0.135,0.8987972140312195,0.3067263960838318,0.956328809261322,9.804232597351074,0.3835168182849884,0.4,1.2,0
0.15,1.0929558277130127,0.4090442955493927,0.9415571093559265,21.43914031982422,0.4560275375843048,0.4,1.2,0
0.16499999999999998,1.3220821619033813,0.5899417400360107,1.0088688135147095,21.742408752441406,0.4704405963420868,0.4,1.2,0
0.18,1.421985149383545,0.5741845965385437,0.9717230200767517,11.605935096740723,0.40699779987335205,0.4,1.2,0
0.195,1.5926913022994995,0.5540468096733093,0.961422324180603,20.69739532470703,0.4766025245189667,0.4,1.2,0
0.21,1.6748831272125244,0.6294312477111816,1.021032452583313,18.860280990600586,0.5476778149604797,0.4,1.2,0
0.22499999999999998,1.6854314804077148,0.7406708598136902,1.0662304162979126,10.854406356811523,0.6377686858177185,0.4,1.2,0
0.24,1.8219085931777954,0.9741029143333435,1.0971095561981201,25.912599563598633,0.6720419526100159,0.4,1.2,0
0.255,2.0269432067871094,1.0759156942367554,1.0919106006622314,8.886115074157715,0.6438843011856079,0.4,1.2,0
0.27,2.137718439102173,1.0783698558807373,1.0301560163497925,6.023955345153809,0.6127607822418213,0.4,1.2,0
0.285,2.3562748432159424,1.0543370246887207,0.9973447918891907,8.452622413635254,0.6506019234657288,0.4,1.2,0
0.3,2.309988498687744,1.213437557220459,1.12195885181427,4.553445816040039,0.7936382293701172,0.4,1.2,0
0.315,2.3909718990325928,1.3752970695495605,1.1308553218841553,32.17292404174805,0.8795480132102966,0.4,1.2,0
0.32999999999999996,2.5200860500335693,1.711643099784851,1.1267179250717163,31.50942039489746,0.9204318523406982,0.4,1.2,0
0.345,2.6343111991882324,1.735368013381958,1.1158373355865479,19.669891357421875,0.8484609723091125,0.4,1.2,0
0.36,2.791468381881714,1.7944121360778809,1.0580209493637085,25.03893280029297,0.9099056720733643,0.4,1.2,0
0.375,2.901014566421509,1.896020770072937,1.1302305459976196,21.46352195739746,0.9618211984634399,0.4,1.2,0
0.39,2.8447065353393555,2.02911114692688,1.194704532623291,14.647244453430176,1.0755177736282349,0.4,1.2,0
0.40499999999999997,2.7710888385772705,2.385125160217285,1.0816748142242432,20.447620391845703,1.1473170518875122,0.4,1.2,0
0.42,2.934119462966919,2.6038177013397217,1.0930694341659546,3.016906976699829,1.1714513301849365,0.4,1.2,0
0.435,3.0165836811065674,2.644127130508423,1.0318888425827026,3.5783917903900146,1.1208369731903076,0.4,1.2,0
