t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps
0.015,0.06890098005533218,-0.002981571713462472,1.11100172996521,20.64914321899414,-0.011836713179945946,1.2,0.4,0
0.03,0.18767589330673218,0.006825985386967659,1.1480984687805176,6.675991058349609,-0.020677801221609116,1.2,0.4,0
0.045,0.14729361236095428,0.08854150772094727,1.0286706686019897,4.634677410125732,0.017920177429914474,1.2,0.4,0
0.06,0.20134387910366058,0.1265256255865097,1.006143569946289,12.072943687438965,0.0074346489273011684,1.2,0.4,0
0.075,0.35710883140563965,0.1586534082889557,1.0037269592285156,13.374496459960938,-0.043885983526706696,1.2,0.4,0
0.09,0.43433329463005066,0.07462401688098907,1.0611016750335693,11.01647663116455,-0.11425773054361343,1.2,0.4,0
0.105,0.54441237449646,0.09910371154546738,1.0530871152877808,3.738215923309326,-0.11136670410633087,1.2,0.4,0
0.12,0.6177397966384888,0.055006034672260284,0.9230026602745056,9.538257598876953,-0.05919934809207916,1.2,0.4,0
0.135,0.709276556968689,0.17755669355392456,0.8911250829696655,14.151481628417969,-0.044897306710481644,1.2,0.4,0
0.15,0.9222589731216431,0.2650917172431946,0.8669848442077637,7.698597431182861,-0.09333649277687073,1.2,0.4,0
0.16499999999999998,0.9574981331825256,0.11050641536712646,1.0027483701705933,6.146456241607666,-0.19800806045532227,1.2,0.4,0
0.18,1.0467177629470825,0.01440935768187046,1.0472722053527832,27.723201751708984,-0.20270724594593048,1.2,0.4,0
0.195,1.3617711067199707,-0.18760675191879272,1.043190598487854,25.70558738708496,-0.27058932185173035,1.2,0.4,0
0.21,1.4610546827316284,-0.11355489492416382,1.0266681909561157,16.305858612060547,-0.21999776363372803,1.2,0.4,0
0.22499999999999998,1.6165169477462769,-0.06266104429960251,0.9955716729164124,24.75191307067871,-0.2892569899559021,1.2,0.4,0
0.24,1.7357581853866577,-0.10090623795986176,1.0549818277359009,17.839143753051758,-0.3477860391139984,1.2,0.4,0
0.255,1.7861988544464111,-0.2123926430940628,1.1175328493118286,10.139363288879395,-0.4608207046985626,1.2,0.4,0
0.27,1.9443550109863281,-0.37581315636634827,1.0912384986877441,29.452260971069336,-0.49843668937683105,1.2,0.4,0
0.285,2.2069272994995117,-0.4951133728027344,1.1023045778274536,8.71041202545166,-0.46933144330978394,1.2,0.4,0
0.3,2.302079439163208,-0.4553914964199066,1.060226321220398,2.2271687984466553,-0.4259539246559143,1.2,0.4,0
0.315,2.5129106044769287,-0.39748522639274597,1.0203298330307007,8.37242603302002,-0.47680625319480896,1.2,0.4,0
0.32999999999999996,2.500433921813965,-0.5816457271575928,1.1547850370407104,2.2891314029693604,-0.6040794849395752,1.2,0.4,0
0.345,2.553640842437744,-0.675438404083252,1.1086241006851196,19.6546688079834,-0.6550616025924683,1.2,0.4,0
0.36,2.7508749961853027,-0.9095038175582886,1.1235418319702148,28.828569412231445,-0.678214967250824,1.2,0.4,0
0.375,2.885352611541748,-0.9112892746925354,1.1239442825317383,12.384252548217773,-0.6106154918670654,1.2,0.4,0
0.39,3.0491721630096436,-0.9420686960220337,1.0584399700164795,23.55483055114746,-0.6438350677490234,1.2,0.4,0
0.40499999999999997,3.197561502456665,-0.9977878928184509,1.0961655378341675,20.030397415161133,-0.7009918689727783,1.2,0.4,0
0.42,3.17427134513855,-1.1310703754425049,1.168792963027954,18.482643127441406,-0.8200437426567078,1.2,0.4,0
0.435,3.2529022693634033,-1.5317869186401367,1.1259361505508423,34.80887222290039,-0.9000295400619507,1.2,0.4,0
0.44999999999999996,3.4547274112701416,-1.6857811212539673,1.0965973138809204,8.479084968566895,-0.9058803915977478,1.2,0.4,0
0.46499999999999997,3.5452041625976562,-1.7486439943313599,1.053916096687317,7.719773292541504,-0.8567902445793152,1.2,0.4,0
0.48,3.739231824874878,-1.7601697444915771,1.0069652795791626,14.044711112976074,-0.9105991721153259,1.2,0.4,0
0.495,3.6836514472961426,-1.9163447618484497,1.1429213285446167,6.288303852081299,-1.0261306762695312,1.2,0.4,0
0.51,3.699773073196411,-2.133753776550293,1.0567036867141724,16.72903823852539,-1.1694597005844116,1.2,0.4,0
0.525,3.731973648071289,-2.521148204803467,1.1450833082199097,24.893386840820312,-1.1773287057876587,1.2,0.4,0
0.54,3.8698253631591797,-2.588456392288208,1.145254135131836,3.4306249618530273,-1.121109962463379,1.2,0.4,0
0.5549999999999999,3.9866838455200195,-2.676447868347168,1.08316969871521,18.105365753173828,-1.1379183530807495,1.2,0.4,0
0.57,4.152285099029541,-2.8037304878234863,1.0974018573760986,20.726213455200195,-1.1945786476135254,1.2,0.4,0
0.585,4.039517402648926,-2.908062219619751,1.180621862411499,15.439926147460938,-1.3249999284744263,1.2,0.4,0
0.6,3.9102656841278076,-3.2446937561035156,1.0727823972702026,30.06387710571289,-1.425114393234253,1.2,0.4,0
0.615,3.9542665481567383,-3.567823886871338,1.0836412906646729,13.125112533569336,-1.445558786392212,1.2,0.4,0
0.63,4.020946025848389,-3.6402037143707275,1.040987253189087,10.951301574707031,-1.3935256004333496,1.2,0.4,0
0.645,4.169771194458008,-3.7613167762756348,1.0008782148361206,24.07044219970703,-1.4879987239837646,1.2,0.4,0
0.6599999999999999,4.087184429168701,-3.865201473236084,1.1133439540863037,7.086777687072754,-1.5730785131454468,1.2,0.4,0
0.6749999999999999,3.9824881553649902,-3.9991493225097656,1.112985610961914,5.881664752960205,-1.704626441001892,1.2,0.4,0
0.69,3.771134376525879,-4.349174499511719,1.1552422046661377,25.77002716064453,-1.716852068901062,1.2,0.4,0
0.705,3.8387205600738525,-4.517209529876709,1.137580394744873,6.464540958404541,-1.697567105293274,1.2,0.4,0
0.72,3.8982818126678467,-4.616334915161133,1.0691606998443604,7.24241828918457,-1.6716941595077515,1.2,0.4,0
0.735,3.999162197113037,-4.832520008087158,1.060397744178772,13.140281677246094,-1.751868486404419,1.2,0.4,0
0.75,3.842937469482422,-4.858057498931885,1.1570981740951538,8.958953857421875,-1.8792906999588013,1.2,0.4,0
0.765,3.6808204650878906,-5.054904937744141,1.1518746614456177,38.08271789550781,-1.9160159826278687,1.2,0.4,0
0.78,3.507413625717163,-5.428741455078125,1.1089489459991455,20.650497436523438,-1.9195023775100708,1.2,0.4,0
0.7949999999999999,3.558995485305786,-5.520847797393799,1.0821762084960938,19.084348678588867,-1.8831632137298584,1.2,0.4,0
0.8099999999999999,3.599440813064575,-5.6778717041015625,1.0047495365142822,29.45149040222168,-1.9565680027008057,1.2,0.4,0
0.825,3.510213851928711,-5.766704559326172,1.1121512651443481,13.467533111572266,-2.0293519496917725,1.2,0.4,0
0.84,3.345282793045044,-5.824465751647949,1.1119556427001953,21.703113555908203,-2.1699280738830566,1.2,0.4,0
0.855,3.0913472175598145,-5.991511344909668,1.0988025665283203,20.30779457092285,-2.200364112854004,1.2,0.4,0
0.87,3.0142099857330322,-6.194246768951416,1.1079838275909424,6.386221408843994,-2.1679465770721436,1.2,0.4,0
0.885,3.0293009281158447,-6.311570644378662,1.0356961488723755,2.892760992050171,-2.137296438217163,1.2,0.4,0
0.8999999999999999,3.0539355278015137,-6.537405490875244,0.9998627305030823,10.690926551818848,-2.1918375492095947,1.2,0.4,0
0.9149999999999999,2.8930273056030273,-6.494678020477295,1.1318405866622925,8.336498260498047,-2.322978973388672,1.2,0.4,0
0.9299999999999999,2.6688501834869385,-6.58366584777832,1.1091476678848267,28.387174606323242,-2.393731117248535,1.2,0.4,0
0.945,2.347001791000366,-6.784655570983887,1.145396113395691,28.383085250854492,-2.4055163860321045,1.2,0.4,0
0.96,2.339085102081299,-6.8946709632873535,1.148793339729309,16.341136932373047,-2.3440933227539062,1.2,0.4,0
0.975,2.2943429946899414,-7.076625347137451,1.0776185989379883,30.28215789794922,-2.4125921726226807,1.2,0.4,0
0.99,2.191197633743286,-7.170261859893799,1.1503169536590576,20.592247009277344,-2.466512680053711,1.2,0.4,0
1.005,2.0366995334625244,-7.152514457702637,1.185328483581543,32.19636154174805,-2.6051697731018066,1.2,0.4,0
