t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command,brain_dn_left,brain_dn_right
0.015,-0.012355277314782143,0.007089644204825163,1.0952433347702026,5.975193023681641,0.0009812406497076154,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.03,0.027283307164907455,0.050375986844301224,1.0834416151046753,9.29902458190918,0.036454327404499054,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.045,0.17226630449295044,0.02200712077319622,1.0434209108352661,9.335748672485352,0.09532011300325394,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.06,0.3465946614742279,0.12240078300237656,0.9159387350082397,7.998592853546143,0.031465597450733185,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.075,0.45833662152290344,0.1816311478614807,0.9426466226577759,8.485288619995117,0.022818397730588913,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.09,0.591231107711792,0.13256531953811646,0.9949405789375305,5.2916998863220215,0.017664557322859764,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.105,0.7273640632629395,0.0811157375574112,0.9792342782020569,15.594857215881348,0.03196549788117409,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.12,0.8923047780990601,0.049354348331689835,1.0017874240875244,12.871391296386719,0.08575351536273956,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.135,1.0977295637130737,0.05063090845942497,1.0114961862564087,18.49178123474121,0.030885323882102966,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.15,1.1693929433822632,0.09223508834838867,0.8781341314315796,12.537385940551758,0.030652079731225967,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.16499999999999998,1.2575551271438599,-0.012936771847307682,0.9260873198509216,12.407188415527344,0.004858145024627447,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.18,1.4655687808990479,-0.011809468269348145,1.0015270709991455,14.212333679199219,-0.03277299925684929,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.195,1.6959999799728394,-0.09877540171146393,0.9521615505218506,19.184593200683594,0.033299777656793594,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.21,1.8346213102340698,-0.04552740976214409,1.0678365230560303,9.325658798217773,0.0602516233921051,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,53,34
0.22499999999999998,2.0243000984191895,0.10304947197437286,1.0294911861419678,30.76006317138672,0.08731763064861298,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,70,44
0.24,2.2659575939178467,0.12865282595157623,1.0745855569839478,10.897343635559082,0.08952883630990982,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,72,45
0.255,2.3345513343811035,0.04442385584115982,1.0522030591964722,8.717245101928711,0.008241812698543072,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,82,56
0.27,2.5069637298583984,-0.06611394882202148,1.0244779586791992,16.767126083374023,0.04847068339586258,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,79,54
0.285,2.6152825355529785,0.053726676851511,1.131919264793396,4.423929214477539,0.15331944823265076,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,75,45
0.3,2.6950292587280273,0.14665377140045166,1.1535134315490723,3.790616512298584,0.23951506614685059,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,69,46
0.315,2.946363925933838,0.2878521978855133,1.135624647140503,23.850229263305664,0.25860795378685,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,76,45
0.32999999999999996,3.1459574699401855,0.27137190103530884,1.148796558380127,8.893635749816895,0.19551272690296173,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,73,48
0.345,3.2708792686462402,0.21674932539463043,1.0902314186096191,6.605335712432861,0.1825268417596817,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,75,50
0.36,3.4979248046875,0.12187197804450989,1.0885001420974731,18.658655166625977,0.25672170519828796,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,74,42
0.375,3.5183675289154053,0.29905030131340027,1.1940674781799316,14.377243041992188,0.390085905790329,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,68,48
0.39,3.6986277103424072,0.5090622901916504,1.0143623352050781,24.05412483215332,0.4760318696498871,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,76,45
0.40499999999999997,3.985092878341675,0.7439409494400024,1.0686947107315063,16.928743362426758,0.4878280758857727,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,72,49
0.42,4.075649738311768,0.6850777864456177,1.0417298078536987,16.35515022277832,0.44363802671432495,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,72,45
0.435,4.2623701095581055,0.6608054637908936,0.996023952960968,24.430212020874023,0.5075900554656982,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,78,53
0.44999999999999996,4.313363075256348,0.786618709564209,1.1041291952133179,10.186002731323242,0.5829783082008362,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,67,53
0.46499999999999997,4.33650541305542,0.9038078188896179,1.1371333599090576,7.093960762023926,0.6787790060043335,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,83,45
0.48,4.521174907684326,1.2425786256790161,1.1600898504257202,24.79381561279297,0.6876013875007629,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,67,44
0.495,4.721346855163574,1.2783257961273193,1.1425361633300781,7.085324764251709,0.6636224389076233,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,79,49
0.51,4.821994304656982,1.2764314413070679,1.0769619941711426,3.2721028327941895,0.6208528280258179,0.4,1.2000000000000002,0,1.0,0.0,0.8,1.0,83,49
