t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command,brain_dn_left,brain_dn_right
0.015,0.003276227740570903,0.049605417996644974,1.0184489488601685,19.73567771911621,0.005251690745353699,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.03,0.0439550057053566,0.07430413365364075,1.02687406539917,1.8681844472885132,-0.014143949374556541,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.045,0.15944653749465942,0.0464874729514122,1.0515316724777222,7.651666641235352,-0.008826610632240772,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.06,0.27368083596229553,-0.002784914569929242,0.96257084608078,5.922088623046875,0.015491197817027569,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.075,0.332849383354187,0.1608181595802307,0.8762198686599731,14.732925415039062,0.04790423437952995,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.09,0.5025384426116943,0.03410008177161217,1.074052333831787,15.505668640136719,0.12288551032543182,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.105,0.6625282168388367,0.09240619838237762,1.0472278594970703,13.006878852844238,0.06931393593549728,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.12,0.8657169938087463,0.07257474958896637,1.1435773372650146,12.405190467834473,0.0820501521229744,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.135,1.0047028064727783,0.01621188409626484,1.0544499158859253,12.675677299499512,0.1270672082901001,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.15,1.2152584791183472,-0.03281771019101143,1.0963133573532104,16.41704750061035,0.11735674738883972,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.16499999999999998,1.291290283203125,0.13992564380168915,1.0577117204666138,32.172142028808594,0.19659453630447388,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.18,1.4514365196228027,0.2687726318836212,1.047653317451477,19.258459091186523,0.18257355690002441,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.195,1.6409857273101807,0.2908060848712921,1.1320456266403198,6.114046573638916,0.13268797099590302,1.08,0.5199999999999999,0,0.0,1.0,0.8,-0.7000000000000001,22,29
0.21,1.739516019821167,0.25288859009742737,1.1186411380767822,8.249822616577148,0.020103469491004944,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,33,53
0.22499999999999998,2.109825611114502,0.13069239258766174,1.1082854270935059,29.914417266845703,0.05004528909921646,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,48
0.24,2.208826780319214,0.2260245680809021,1.1177268028259277,9.77438735961914,0.08265279233455658,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,52
0.255,2.325794219970703,0.28836286067962646,1.0472536087036133,14.366961479187012,0.08966606110334396,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,28,47
0.27,2.5134832859039307,0.4069457948207855,1.0444309711456299,17.597620010375977,0.021199867129325867,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,23,37
0.285,2.586444616317749,0.288505882024765,1.1289607286453247,14.646936416625977,-0.10863109678030014,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,27,53
0.3,2.7801055908203125,0.17500227689743042,1.0986250638961792,17.08542823791504,-0.13265104591846466,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,50
0.315,3.0989909172058105,0.12301451712846756,1.118467926979065,16.63125228881836,-0.14972513914108276,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,23,39
0.32999999999999996,3.1659576892852783,0.19262954592704773,1.0906932353973389,12.882430076599121,-0.09799591451883316,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,35,49
0.345,3.333122491836548,0.28496208786964417,1.041742205619812,25.74970817565918,-0.1681174486875534,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,20,42
0.36,3.419196128845215,0.17043757438659668,1.151108980178833,10.645499229431152,-0.2603040933609009,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,49
0.375,3.532346487045288,-0.009578846395015717,1.0968323945999146,18.45718002319336,-0.4201376438140869,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,54
0.39,3.7085652351379395,-0.21019180119037628,1.0652440786361694,19.584701538085938,-0.44210758805274963,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,23,46
0.40499999999999997,3.9076201915740967,-0.2720591425895691,1.0829466581344604,7.645083427429199,-0.4013531804084778,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,33,54
0.42,4.030892848968506,-0.22428637742996216,1.0144932270050049,5.398791790008545,-0.3792232573032379,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,27,50
0.435,4.248941898345947,-0.1797962337732315,0.982026994228363,14.12258529663086,-0.4420717656612396,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,52
0.44999999999999996,4.241514205932617,-0.3422834277153015,1.1174440383911133,11.235031127929688,-0.5907794833183289,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,46
0.46499999999999997,4.355013370513916,-0.5438775420188904,1.1396385431289673,41.6796989440918,-0.6122511625289917,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,44
0.48,4.644584655761719,-0.8146503567695618,1.1089946031570435,20.562028884887695,-0.6231064796447754,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,25,44
0.495,4.742993354797363,-0.787233829498291,1.0822783708572388,16.960765838623047,-0.5811088681221008,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,26,54
0.51,4.916329860687256,-0.7759576439857483,1.0158607959747314,25.06731414794922,-0.6520761847496033,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,33,45
0.525,4.9737372398376465,-0.8883999586105347,1.119112253189087,13.932306289672852,-0.7133509516716003,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,54
0.54,4.97242546081543,-1.0206929445266724,1.143576979637146,19.516592025756836,-0.8296487331390381,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,31,55
0.5549999999999999,5.085662841796875,-1.2148470878601074,1.1129482984542847,25.89665412902832,-0.8763244152069092,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,51
0.57,5.293755054473877,-1.4114019870758057,1.140609860420227,16.702714920043945,-0.8278692364692688,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,46
0.585,5.41634464263916,-1.429425835609436,1.0909780263900757,6.998219966888428,-0.791277289390564,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,28,50
0.6,5.678715705871582,-1.4411298036575317,1.0568773746490479,11.808953285217285,-0.8370786905288696,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,32,59
0.615,5.559745788574219,-1.6150250434875488,1.1810721158981323,6.486414909362793,-0.9825670719146729,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,26,44
0.63,5.582813262939453,-1.8749186992645264,1.0130220651626587,25.73139762878418,-1.0970767736434937,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,22,46
0.645,5.647500991821289,-2.2761850357055664,1.078940510749817,19.19635772705078,-1.1120270490646362,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,36,54
0.6599999999999999,5.774111270904541,-2.2220876216888428,1.0398554801940918,17.036945343017578,-1.0453702211380005,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,32,50
0.6749999999999999,5.906461238861084,-2.3160526752471924,1.0004687309265137,26.352754592895508,-1.1047947406768799,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,21,48
0.69,5.976520538330078,-2.4351882934570312,1.0609291791915894,16.939483642578125,-1.1660677194595337,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,30,53
0.705,5.930034160614014,-2.555368661880493,1.1234288215637207,10.096789360046387,-1.292465090751648,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,27,49
0.72,5.857312202453613,-2.9612669944763184,1.1975688934326172,34.025062561035156,-1.3051940202713013,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,24,43
0.735,6.018156051635742,-3.1114325523376465,1.1508499383926392,3.426193952560425,-1.3068602085113525,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,27,50
0.75,6.089653968811035,-3.1815357208251953,1.0971879959106445,4.892556667327881,-1.2495753765106201,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,32,53
0.765,6.272474765777588,-3.2910308837890625,1.047885537147522,11.194546699523926,-1.2928307056427002,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,24,41
0.78,6.1283063888549805,-3.397925853729248,1.1667250394821167,2.077646493911743,-1.432232141494751,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,24,47
0.7949999999999999,6.055506706237793,-3.665203094482422,1.0394706726074219,21.17257308959961,-1.5689455270767212,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,29,50
0.8099999999999999,5.910896301269531,-4.051785945892334,1.1065999269485474,22.750221252441406,-1.5752724409103394,1.2000000000000002,0.4,0,0.0,1.0,0.8,-1.0,24,41
