t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command
0.015,0.08185099065303802,0.04908172786235809,1.0711491107940674,22.972171783447266,-0.002149315783753991,0.8,0.8,0,0.0,0.0,0.8,0.0
0.03,0.226325124502182,0.0612829364836216,1.1436759233474731,7.753056526184082,-0.0008469599997624755,0.8,0.8,0,0.0,0.0,0.8,0.0
0.045,0.3364717960357666,-0.00622660294175148,1.0876375436782837,3.5042450428009033,0.029538549482822418,0.8,0.8,0,0.0,0.0,0.8,0.0
0.06,0.29143068194389343,0.15783068537712097,1.060371994972229,8.314135551452637,0.049911174923181534,0.8,0.8,0,0.0,0.0,0.8,0.0
0.075,0.4519406259059906,0.15774787962436676,1.1021040678024292,11.66945743560791,0.11240251362323761,0.8,0.8,0,0.0,0.0,0.8,0.0
0.09,0.615060567855835,0.25945845246315,1.0593198537826538,22.45199203491211,0.06409561634063721,0.8,0.8,0,0.0,0.0,0.8,0.0
0.105,0.7802684903144836,0.23842962086200714,1.1451820135116577,9.772504806518555,0.05135595425963402,0.8,0.8,0,0.0,0.0,0.8,0.0
0.12,0.9315205216407776,0.15222719311714172,1.0241470336914062,14.801467895507812,0.012012574821710587,0.8,0.8,0,0.0,0.0,0.8,0.0
0.135,1.1006953716278076,0.1165948286652565,1.0487370491027832,14.510908126831055,0.011929473839700222,0.8,0.8,0,0.0,0.0,0.8,0.0
0.15,1.1573947668075562,0.2268570214509964,1.0856870412826538,11.595331192016602,0.14012470841407776,0.8,0.8,0,0.0,0.0,0.8,0.0
0.16499999999999998,1.3732720613479614,0.36008554697036743,1.0914440155029297,24.47588539123535,0.14911474287509918,0.8,0.8,0,0.0,0.0,0.8,0.0
0.18,1.566912293434143,0.38255754113197327,1.0920555591583252,13.443501472473145,0.10176408290863037,0.8,0.8,0,0.0,0.0,0.8,0.0
0.195,1.680039644241333,0.342162549495697,1.1182494163513184,12.073606491088867,0.034141212701797485,0.8,0.8,0,0.0,0.0,0.8,0.0
0.21,1.9145249128341675,0.2119341790676117,1.1124625205993652,22.285053253173828,0.0417221337556839,0.8,0.8,0,0.0,0.0,0.8,0.0
0.22499999999999998,2.0768067836761475,0.2963809669017792,1.147422432899475,6.108799934387207,0.10518419742584229,0.8,0.8,0,0.0,0.0,0.8,0.0
0.24,2.157660484313965,0.36668455600738525,1.1252468824386597,0.9756608009338379,0.17096562683582306,0.8,0.8,0,0.0,0.0,0.8,0.0
0.255,2.371009349822998,0.5180425643920898,1.118232011795044,13.512896537780762,0.1553979367017746,0.8,0.8,0,0.0,0.0,0.8,0.0
0.27,2.5069162845611572,0.4160138666629791,1.1757652759552002,2.2352824211120605,0.06369568407535553,0.8,0.8,0,0.0,0.0,0.8,0.0
0.285,2.6782634258270264,0.35594162344932556,1.110358715057373,17.657207489013672,0.0027623199857771397,0.8,0.8,0,0.0,0.0,0.8,0.0
0.3,2.958109140396118,0.22881478071212769,1.1296436786651611,20.99615478515625,0.027153747156262398,0.8,0.8,0,0.0,0.0,0.8,0.0
0.315,2.7743258476257324,0.32060328125953674,1.1053539514541626,12.55008602142334,0.0771520808339119,0.0,0.0,0,1.0,1.0,0.0,0.0
0.32999999999999996,2.7390267848968506,0.401054710149765,1.154309630393982,16.355728149414062,0.1108776181936264,0.0,0.0,0,1.0,1.0,0.0,0.0
0.345,2.6201887130737305,0.3947865068912506,1.1448332071304321,10.041621208190918,0.15622536838054657,0.0,0.0,0,1.0,1.0,0.0,0.0
0.36,2.5260515213012695,0.3666706681251526,1.1156327724456787,4.981697082519531,0.15574738383293152,0.0,0.0,0,1.0,1.0,0.0,0.0
0.375,2.524324417114258,0.319050133228302,1.1405621767044067,5.669154167175293,0.13578400015830994,0.0,0.0,0,1.0,1.0,0.0,0.0
0.39,2.497610330581665,0.31680381298065186,1.1226568222045898,2.9925899505615234,0.12143958359956741,0.0,0.0,0,1.0,1.0,0.0,0.0
0.40499999999999997,2.4990882873535156,0.3422231674194336,1.1385306119918823,6.039120197296143,0.13278254866600037,0.0,0.0,0,1.0,1.0,0.0,0.0
0.42,2.5142741203308105,0.3712107539176941,1.1597272157669067,0.7996231913566589,0.13062319159507751,0.0,0.0,0,1.0,1.0,0.0,0.0
0.435,2.510065793991089,0.383375346660614,1.1515114307403564,0.9072193503379822,0.1298399269580841,0.0,0.0,0,1.0,1.0,0.0,0.0
0.44999999999999996,2.5320892333984375,0.35116955637931824,1.1449114084243774,2.7130653858184814,0.12700878083705902,0.0,0.0,0,1.0,1.0,0.0,0.0
0.46499999999999997,2.5213119983673096,0.3456656038761139,1.1394578218460083,0.17355671525001526,0.1230226457118988,0.0,0.0,0,1.0,1.0,0.0,0.0
0.48,2.5185587406158447,0.34717845916748047,1.1365652084350586,0.375884085893631,0.12357237190008163,0.0,0.0,0,1.0,1.0,0.0,0.0
0.495,2.5413284301757812,0.3604915738105774,1.1439086198806763,1.2378555536270142,0.11952918767929077,0.0,0.0,0,1.0,1.0,0.0,0.0
0.51,2.528381824493408,0.3538655638694763,1.130216360092163,0.7348139882087708,0.12274535745382309,0.0,0.0,0,1.0,1.0,0.0,0.0
0.525,2.528561592102051,0.3564268946647644,1.1277533769607544,0.345592737197876,0.12205147743225098,0.0,0.0,0,1.0,1.0,0.0,0.0
0.54,2.5389602184295654,0.34569576382637024,1.1220580339431763,0.6698818802833557,0.12251801043748856,0.0,0.0,0,1.0,1.0,0.0,0.0
0.5549999999999999,2.5349133014678955,0.34548431634902954,1.1164240837097168,0.2732323706150055,0.12239512801170349,0.0,0.0,0,1.0,1.0,0.0,0.0
0.57,2.5347023010253906,0.34577423334121704,1.1150864362716675,0.2702966332435608,0.12363865226507187,0.0,0.0,0,1.0,1.0,0.0,0.0
0.585,2.5311474800109863,0.3441016376018524,1.1117223501205444,0.7779342532157898,0.11941453069448471,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6,2.5328519344329834,0.34328311681747437,1.1122410297393799,0.33279144763946533,0.11981076747179031,0.0,0.0,0,1.0,1.0,0.0,0.0
0.615,2.529402017593384,0.3467216491699219,1.1146003007888794,0.6997326612472534,0.1179080680012703,0.0,0.0,0,1.0,1.0,0.0,0.0
0.63,2.5306308269500732,0.34564125537872314,1.1129252910614014,0.050989750772714615,0.11983291059732437,0.0,0.0,0,1.0,1.0,0.0,0.0
0.645,2.5301918983459473,0.34597402811050415,1.1124107837677002,0.09532571583986282,0.12052439153194427,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6599999999999999,2.5381433963775635,0.3440950810909271,1.1189802885055542,2.7377638816833496,0.11764919012784958,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6749999999999999,2.5360159873962402,0.3466641902923584,1.1175298690795898,0.661797046661377,0.11809400469064713,0.0,0.0,0,1.0,1.0,0.0,0.0
0.69,2.5295636653900146,0.34596627950668335,1.1113386154174805,0.5706214308738708,0.11467576771974564,0.0,0.0,0,1.0,1.0,0.0,0.0
